canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
cal-poly,Cal Poly,Big West,Cal Poly,Big West,338,343,-21.70,0,3,0,2,0,3,2,18,Cal Poly,BW,319,.0697,1,1
cal-state-bakersfield,Cal St. Bakersfield,Big West,Cal St. Bakersfield,Big West,306,338,-21.18,0,0,0,2,0,4,6,17,Cal St. Bakersfield,BW,295,.1174,1,1
cal-state-fullerton,Cal St. Fullerton,Big West,Cal St. Fullerton,Big West,195,213,-12.38,0,0,0,1,0,3,16,10,Cal St. Fullerton,BW,190,.3919,1,1
cal-state-northridge,Cal St. Northridge,Big West,Cal St. Northridge,Big West,277,302,-17.91,0,0,0,2,0,6,8,12,Cal St. Northridge,BW,273,.1807,1,1
california,California,ACC,California,ACC,52,67,-2.64,1,8,3,4,2,2,13,0,California,ACC,47,.9285,1,1
campbell,Campbell,CAA,Campbell,CAA,216,188,-10.52,0,0,0,1,1,1,17,10,Campbell,CAA,232,.2974,1,1
canisius,Canisius,MAAC,Canisius,MAAC,341,331,-20.77,0,2,0,2,0,3,5,17,Canisius,MAAC,344,.0342,1,1
central-arkansas,Central Arkansas,ASUN,Central Arkansas,ASUN,105,157,-9.06,0,0,0,1,1,3,18,7,Central Arkansas,ASun,115,.6751,1,1
central-connecticut,Central Connecticut,NEC,Central Connecticut,NEC,361,359,-25.30,0,1,0,0,0,2,2,24,Central Connecticut,NEC,358,.0092,1,1
central-michigan,Central Michigan,MAC,Central Michigan,MAC,117,122,-7.31,0,3,0,2,1,2,16,5,Central Michigan,MAC,144,.5812,1,1
charleston,Charleston,CAA,Charleston,CAA,104,78,-3.46,0,0,0,1,2,0,21,4,Charleston,CAA,123,.6470,1,1
charleston-southern,Charleston Southern,Big South,Charleston Southern,Big South,332,313,-18.68,0,2,0,2,0,3,7,15,Charleston Southern,BSth,345,.0337,1,1
charlotte,Charlotte,American,Charlotte,American,171,222,-12.84,0,3,0,3,1,4,13,8,Charlotte,Amer,158,.5229,1,1
chattanooga,Chattanooga,SoCon,Chattanooga,SoCon,208,147,-8.72,0,0,0,2,0,0,18,8,Chattanooga,SC,219,.3271,1,1
chicago-state,Chicago St.,NEC,Chicago St.,NEC,346,328,-20.64,0,1,0,1,0,2,9,19,Chicago St.,NEC,343,.0343,1,1
cincinnati,Cincinnati,Big 12,Cincinnati,Big 12,109,167,-9.50,0,4,3,9,0,3,7,4,Cincinnati,B12,93,.7711,1,1
clemson,Clemson,ACC,Clemson,ACC,42,36,1.35,2,10,4,1,1,0,14,0,Clemson,ACC,49,.9236,1,1
cleveland-state,Cleveland St.,Horizon,Cleveland St.,Horizon,153,129,-7.66,0,0,0,0,1,1,21,8,Cleveland St.,Horz,147,.5692,1,1
coastal-carolina,Coastal Carolina,Sun Belt,Coastal Carolina,Sun Belt,143,226,-13.19,0,3,0,3,0,5,12,7,Coastal Carolina,SB,155,.5468,1,1
colgate,Colgate,Patriot,Colgate,Patriot,321,344,-21.77,0,1,0,1,0,4,6,18,Colgate,Pat,327,.0571,1,1
colorado,Colorado,Big 12,Colorado,Big 12,46,41,0.84,2,5,6,3,3,2,11,1,Colorado,B12,36,.9623,1,1
colorado-state,Colorado St.,Mountain West,Colorado St.,Mountain West,70,80,-3.54,0,0,1,2,3,4,22,1,Colorado St.,MWC,70,.8570,1,1
columbia,Columbia,Ivy League,Columbia,Ivy League,59,64,-2.51,1,1,4,3,0,3,15,1,Columbia,Ivy,60,.8881,1,1
coppin-state,Coppin St.,MEAC,Coppin St.,MEAC,294,286,-17.25,0,5,0,1,0,1,8,16,Coppin St.,MEAC,296,.1159,1,1
cornell,Cornell,Ivy League,Cornell,Ivy League,299,242,-14.25,0,2,1,2,1,3,6,11,Cornell,Ivy,279,.1627,1,1
creighton,Creighton,Big East,Creighton,Big East,90,113,-6.31,0,5,1,4,3,3,12,3,Creighton,BE,67,.8616,1,1
dartmouth,Dartmouth,Ivy League,Dartmouth,Ivy League,322,231,-13.75,0,1,0,4,0,3,7,9,Dartmouth,Ivy,318,.0723,1,1
davidson,Davidson,Atlantic 10,Davidson,Atlantic 10,73,105,-5.90,0,3,0,5,3,2,18,2,Davidson,A10,83,.8097,1,1
dayton,Dayton,Atlantic 10,Dayton,Atlantic 10,167,176,-10.06,0,0,1,6,1,1,15,7,Dayton,A10,172,.4781,1,1
delaware,Delaware,CUSA,Delaware,CUSA,238,281,-16.96,0,0,0,1,0,4,12,14,Delaware,CUSA,253,.2321,1,1
delaware-state,Delaware St.,MEAC,Delaware St.,MEAC,344,336,-21.11,0,1,0,0,0,1,4,21,Delaware St.,MEAC,341,.0359,1,1
denver,Denver,Summit League,Denver,Summit League,288,260,-15.38,0,1,0,4,0,3,8,11,Denver,Sum,275,.1738,1,1
depaul,DePaul,Big East,DePaul,Big East,201,271,-16.19,0,5,0,3,2,5,6,11,DePaul,BE,159,.5212,1,1
detroit-mercy,Detroit Mercy,Horizon,Detroit Mercy,Horizon,303,325,-20.35,0,1,0,0,0,3,7,19,Detroit Mercy,Horz,305,.0928,1,1
drake,Drake,MVC,Drake,MVC,212,266,-15.76,0,2,0,1,0,6,12,11,Drake,MVC,208,.3599,1,1
drexel,Drexel,CAA,Drexel,CAA,160,134,-7.81,0,0,0,0,0,3,20,6,Drexel,CAA,168,.4896,1,1
duke,Duke,ACC,Duke,ACC,8,10,7.95,8,7,6,1,2,0,8,0,Duke,ACC,7,.9938,1,1
duquesne,Duquesne,Atlantic 10,Duquesne,Atlantic 10,241,268,-15.90,0,1,0,2,1,4,9,12,Duquesne,A10,236,.2836,1,1
east-carolina,East Carolina,American,East Carolina,American,115,131,-7.69,0,0,0,1,2,2,20,7,East Carolina,Amer,129,.6143,1,1
east-tennessee-state,East Tennessee St.,SoCon,East Tennessee St.,SoCon,248,180,-10.21,0,3,0,0,0,0,16,10,East Tennessee St.,SC,248,.2409,1,1
east-texas-a-and-m,East Texas A&M,Southland,East Texas A&M,Southland,287,244,-14.41,0,2,0,0,0,2,11,13,East Texas A&M,Slnd,293,.1240,1,1
eastern-illinois,Eastern Illinois,OVC,Eastern Illinois,OVC,316,352,-22.88,0,2,0,2,0,5,4,18,Eastern Illinois,OVC,309,.0860,1,1
e-kentucky,Eastern Kentucky,ASUN,Eastern Kentucky,ASUN,110,106,-5.91,0,1,0,0,1,1,21,6,Eastern Kentucky,ASun,122,.6589,1,1
eastern-michigan,Eastern Michigan,MAC,Eastern Michigan,MAC,196,216,-12.51,0,1,0,3,0,4,12,8,Eastern Michigan,MAC,217,.3305,1,1
eastern-washington,Eastern Washington,Big Sky,Eastern Washington,Big Sky,210,252,-15.03,0,0,0,3,1,4,12,11,Eastern Washington,BSky,199,.3754,1,1
elon,Elon,CAA,Elon,CAA,220,234,-13.94,0,1,0,0,0,3,15,12,Elon,CAA,228,.3027,1,1
evansville,Evansville,MVC,Evansville,MVC,268,334,-20.98,0,1,0,1,1,3,8,19,Evansville,MVC,254,.2295,1,1
fairfield,Fairfield,MAAC,Fairfield,MAAC,53,45,0.28,2,2,0,0,3,1,23,1,Fairfield,MAAC,61,.8880,1,1
fdu,FDU,NEC,FDU,NEC,136,66,-2.58,0,1,0,1,0,0,27,2,Fairleigh Dickinson,NEC,135,.6065,1,1
fiu,FIU,CUSA,FIU,CUSA,173,156,-9.05,0,0,0,2,0,2,19,7,FIU,CUSA,170,.4852,1,1
florida,Florida,SEC,Florida,SEC,48,61,-2.24,2,10,1,1,3,3,12,1,Florida,SEC,38,.9529,1,1
florida-a-and-m,Florida A&M,SWAC,Florida A&M,SWAC,339,324,-20.32,0,0,0,2,0,1,8,19,Florida A&M,SWAC,340,.0359,1,1
florida-atlantic,Florida Atlantic,American,Florida Atlantic,American,239,249,-14.81,0,0,0,3,1,5,12,10,Florida Atlantic,Amer,241,.2683,1,1
florida-gulf-coast,Florida Gulf Coast,ASUN,Florida Gulf Coast,ASUN,158,195,-10.93,0,1,1,2,1,4,12,8,Florida Gulf Coast,ASun,156,.5287,1,1
florida-state,Florida St.,ACC,Florida St.,ACC,108,140,-8.40,0,9,0,9,3,2,7,1,Florida St.,ACC,98,.7528,1,1
fordham,Fordham,Atlantic 10,Fordham,Atlantic 10,259,276,-16.54,0,1,0,5,0,2,9,12,Fordham,A10,256,.2273,1,1
fresno-state,Fresno St.,Mountain West,Fresno St.,Mountain West,174,238,-14.14,0,1,0,3,0,7,14,7,Fresno St.,MWC,154,.5489,1,1
furman,Furman,SoCon,Furman,SoCon,247,170,-9.73,0,2,0,3,0,0,14,8,Furman,SC,269,.2010,1,1
gardner-webb,Gardner Webb,Big South,Gardner Webb,Big South,328,296,-17.73,0,1,0,0,0,1,12,17,Gardner Webb,BSth,332,.0481,1,1
george-mason,George Mason,Atlantic 10,George Mason,Atlantic 10,60,59,-2.11,1,3,3,3,2,1,17,2,George Mason,A10,63,.8838,1,1
george-washington,George Washington,Atlantic 10,George Washington,Atlantic 10,172,224,-12.97,0,0,1,5,0,3,13,9,George Washington,A10,175,.4631,1,1
georgetown,Georgetown,Big East,Georgetown,Big East,95,154,-8.87,0,5,1,3,3,3,10,6,Georgetown,BE,76,.8350,1,1
georgia,Georgia,SEC,Georgia,SEC,34,25,3.13,3,8,2,1,6,0,11,0,Georgia,SEC,32,.9718,1,1
georgia-southern,Georgia Southern,Sun Belt,Georgia Southern,Sun Belt,77,65,-2.53,0,2,2,2,1,2,19,1,Georgia Southern,SB,79,.8282,1,1
georgia-state,Georgia St.,Sun Belt,Georgia St.,Sun Belt,232,278,-16.73,0,2,1,3,0,3,7,13,Georgia St.,SB,250,.2367,1,1
georgia-tech,Georgia Tech,ACC,Georgia Tech,ACC,74,108,-5.98,1,9,2,6,2,2,9,1,Georgia Tech,ACC,59,.8902,1,1
gonzaga,Gonzaga,WCC,Gonzaga,WCC,61,87,-4.13,0,0,1,4,5,5,18,0,Gonzaga,WCC,62,.8862,1,1
grambling-state,Grambling St.,SWAC,Grambling St.,SWAC,304,279,-16.93,0,1,0,1,0,3,10,14,Grambling St.,SWAC,310,.0859,1,1
grand-canyon,Grand Canyon,Mountain West,Grand Canyon,Mountain West,134,229,-13.73,0,2,0,4,3,4,10,9,Grand Canyon,MWC,131,.6129,1,1
green-bay,Green Bay,Horizon,Green Bay,Horizon,97,86,-4.13,0,2,1,2,0,1,23,3,Green Bay,Horz,88,.7881,1,1
hampton,Hampton,CAA,Hampton,CAA,311,322,-20.00,0,0,0,0,0,2,7,19,Hampton,CAA,328,.0550,1,1
harvard,Harvard,Ivy League,Harvard,Ivy League,64,91,-4.38,0,3,2,2,2,3,14,2,Harvard,Ivy,69,.8606,1,1
hawaii,Hawaii,Big West,Hawaii,Big West,112,133,-7.79,0,0,0,1,2,4,18,5,Hawaii,BW,111,.7004,1,1
high-point,High Point,Big South,High Point,Big South,145,85,-4.04,0,0,0,1,2,0,23,4,High Point,BSth,165,.5056,1,1
hofstra,Hofstra,CAA,Hofstra,CAA,275,295,-17.71,0,2,0,1,0,2,9,16,Hofstra,CAA,280,.1619,1,1
holy-cross,Holy Cross,Patriot,Holy Cross,Patriot,149,111,-6.11,0,1,0,2,2,1,20,5,Holy Cross,Pat,166,.5039,1,1
houston,Houston,Big 12,Houston,Big 12,176,218,-12.57,0,6,0,8,0,6,7,3,Houston,B12,164,.5079,1,1
houston-christian,Houston Christian,Southland,Houston Christian,Southland,312,309,-18.37,0,1,0,2,0,2,6,16,Houston Christian,Slnd,314,.0754,1,1
howard,Howard,MEAC,Howard,MEAC,156,89,-4.28,0,2,1,1,1,1,23,3,Howard,MEAC,177,.4568,1,1
idaho,Idaho,Big Sky,Idaho,Big Sky,99,71,-2.95,0,0,0,2,2,0,25,3,Idaho,BSky,89,.7870,1,1
idaho-state,Idaho St.,Big Sky,Idaho St.,Big Sky,132,145,-8.67,0,0,0,2,2,1,16,8,Idaho St.,BSky,143,.5814,1,1
illinois,Illinois,Big Ten,Illinois,Big Ten,30,30,2.46,3,10,2,0,5,1,11,0,Illinois,B10,31,.9719,1,1
illinois-chicago,Illinois Chicago,MVC,Illinois Chicago,MVC,203,264,-15.57,0,0,1,1,0,4,13,13,Illinois Chicago,MVC,189,.4059,1,1
illinois-state,Illinois St.,MVC,Illinois St.,MVC,151,146,-8.68,0,2,0,1,0,3,20,6,Illinois St.,MVC,161,.5148,1,1
incarnate-word,Incarnate Word,Southland,Incarnate Word,Southland,276,228,-13.67,0,2,0,1,0,3,11,11,Incarnate Word,Slnd,278,.1636,1,1
indiana,Indiana,Big Ten,Indiana,Big Ten,55,47,0.01,2,13,1,1,3,0,12,0,Indiana,B10,46,.9325,1,1
indiana-state,Indiana St.,MVC,Indiana St.,MVC,297,315,-19.37,0,1,0,0,0,4,9,17,Indiana St.,MVC,282,.1577,1,1
iona,Iona,MAAC,Iona,MAAC,272,182,-10.28,0,0,0,2,1,3,18,7,Iona,MAAC,283,.1545,1,1
iowa,Iowa,Big Ten,Iowa,Big Ten,10,5,11.01,10,6,6,0,3,0,7,0,Iowa,B10,9,.9910,1,1
iowa-state,Iowa St.,Big 12,Iowa St.,Big 12,33,40,0.89,2,3,6,5,1,1,13,0,Iowa St.,B12,34,.9672,1,1
iu-indy,IU Indy,Horizon,IU Indy,Horizon,255,254,-15.04,0,0,0,0,0,4,12,13,IU Indy,Horz,249,.2378,1,1
jackson-state,Jackson St.,SWAC,Jackson St.,SWAC,315,265,-15.70,0,3,0,1,0,2,11,13,Jackson St.,SWAC,337,.0431,1,1
jacksonville,Jacksonville,ASUN,Jacksonville,ASUN,137,92,-4.45,0,2,1,1,1,1,20,4,Jacksonville,ASun,146,.5698,1,1
jacksonville-state,Jacksonville St.,CUSA,Jacksonville St.,CUSA,219,235,-13.98,0,1,0,1,0,2,13,12,Jacksonville St.,CUSA,220,.3271,1,1
james-madison,James Madison,Sun Belt,James Madison,Sun Belt,45,63,-2.30,0,2,1,2,6,3,19,1,James Madison,SB,43,.9375,1,1
kansas,Kansas,Big 12,Kansas,Big 12,50,57,-1.80,1,7,3,4,4,1,10,1,Kansas,B12,48,.9275,1,1
kansas-state,Kansas State,Big 12,Kansas State,Big 12,54,73,-3.00,4,6,3,5,3,5,8,1,Kansas St.,B12,53,.9138,1,1
kennesaw-state,Kennesaw St.,CUSA,Kennesaw St.,CUSA,249,245,-14.52,0,1,0,2,0,2,10,12,Kennesaw St.,CUSA,260,.2175,1,1
kent-state,Kent St.,MAC,Kent St.,MAC,166,198,-11.27,0,3,0,1,0,7,13,5,Kent St.,MAC,178,.4560,1,1
kentucky,Kentucky,SEC,Kentucky,SEC,16,19,4.94,5,9,2,1,8,0,8,0,Kentucky,SEC,17,.9883,1,1
la-salle,La Salle,Atlantic 10,La Salle,Atlantic 10,165,149,-8.77,0,1,1,4,0,3,16,5,La Salle,A10,152,.5628,1,1
la-tech,La. Tech,CUSA,La. Tech,CUSA,76,58,-2.05,0,2,0,0,1,1,23,2,Louisiana Tech,CUSA,86,.7984,1,1
lafayette,Lafayette,Patriot,Lafayette,Patriot,282,285,-17.20,0,1,0,0,0,3,11,15,Lafayette,Pat,291,.1263,1,1
lamar,Lamar,Southland,Lamar,Southland,179,138,-8.03,0,0,0,2,0,2,19,6,Lamar,Slnd,206,.3641,1,1
le-moyne,Le Moyne,NEC,Le Moyne,NEC,352,306,-18.23,0,2,0,1,0,2,11,16,Le Moyne,NEC,351,.0248,1,1
lehigh,Lehigh,Patriot,Lehigh,Patriot,191,192,-10.74,0,1,0,1,3,1,14,10,Lehigh,Pat,191,.3892,1,1
liberty,Liberty,CUSA,Liberty,CUSA,142,158,-9.22,0,2,1,1,1,3,14,7,Liberty,CUSA,136,.5946,1,1
lindenwood,Lindenwood,OVC,Lindenwood,OVC,93,94,-4.53,0,2,0,0,4,3,19,3,Lindenwood,OVC,104,.7312,1,1
lipscomb,Lipscomb,ASUN,Lipscomb,ASUN,260,301,-17.90,0,0,0,2,0,3,8,15,Lipscomb,ASun,267,.2019,1,1
little-rock,Little Rock,OVC,Little Rock,OVC,237,221,-12.81,0,1,0,1,0,6,13,8,Little Rock,OVC,242,.2629,1,1
liu,LIU,NEC,LIU,NEC,274,162,-9.31,0,0,0,1,0,0,19,9,LIU,NEC,274,.1743,1,1
long-beach-state,Long Beach St.,Big West,Long Beach St.,Big West,326,345,-21.89,0,1,0,2,0,4,4,18,Long Beach St.,BW,317,.0735,1,1
longwood,Longwood,Big South,Longwood,Big South,226,135,-7.81,0,2,0,0,0,2,18,6,Longwood,BSth,257,.2235,1,1
louisiana,Louisiana,Sun Belt,Louisiana,Sun Belt,319,341,-21.58,0,2,0,1,0,3,4,19,Louisiana,SB,313,.0757,1,1
louisiana-monroe,Louisiana Monroe,Sun Belt,Louisiana Monroe,Sun Belt,155,201,-11.53,0,2,0,4,1,3,15,7,Louisiana Monroe,SB,160,.5168,1,1
louisville,Louisville,ACC,Louisville,ACC,11,11,7.80,8,6,6,1,1,0,12,0,Louisville,ACC,11,.9907,1,1
loyola-chicago,Loyola Chicago,Atlantic 10,Loyola Chicago,Atlantic 10,197,219,-12.62,0,2,0,3,0,3,14,9,Loyola Chicago,A10,213,.3395,1,1
loyola-marymount,Loyola Marymount,WCC,Loyola Marymount,WCC,111,115,-6.64,0,0,0,1,5,2,15,6,Loyola Marymount,WCC,95,.7625,1,1
loyola-md,Loyola MD,Patriot,Loyola MD,Patriot,273,262,-15.47,0,2,0,0,0,2,12,14,Loyola MD,Pat,289,.1285,1,1
lsu,LSU,SEC,LSU,SEC,5,9,8.82,8,5,4,0,3,0,12,0,LSU,SEC,5,.9978,1,1
maine,Maine,America East,Maine,America East,146,155,-9.03,0,1,2,3,1,3,16,6,Maine,AE,180,.4523,1,1
manhattan,Manhattan,MAAC,Manhattan,MAAC,289,277,-16.59,0,1,0,3,0,5,11,11,Manhattan,MAAC,290,.1266,1,1
marist,Marist,MAAC,Marist,MAAC,301,283,-17.15,0,1,0,2,0,3,11,14,Marist,MAAC,308,.0863,1,1
marquette,Marquette,Big East,Marquette,Big East,66,90,-4.37,0,5,1,2,4,3,12,2,Marquette,BE,57,.8944,1,1
marshall,Marshall,Sun Belt,Marshall,Sun Belt,101,97,-4.87,0,2,1,2,2,2,18,3,Marshall,SB,124,.6438,1,1
maryland,Maryland,Big Ten,Maryland,Big Ten,14,17,5.41,6,8,2,0,3,0,12,0,Maryland,B10,12,.9897,1,1
maryland-eastern-shore,Maryland Eastern Shore,MEAC,Maryland Eastern Shore,MEAC,254,194,-10.88,0,2,0,1,0,1,17,10,Maryland Eastern Shore,MEAC,258,.2225,1,1
massachusetts,Massachusetts,MAC,Massachusetts,MAC,98,93,-4.49,0,0,0,3,3,1,20,3,Massachusetts,MAC,100,.7472,1,1
mcneese-state,McNeese St,Southland,McNeese St,Southland,88,60,-2.15,0,2,0,1,0,0,26,2,McNeese St.,Slnd,92,.7713,1,1
memphis,Memphis,American,Memphis,American,215,294,-17.54,0,1,0,1,0,8,9,11,Memphis,Amer,218,.3279,1,1
mercer,Mercer,SoCon,Mercer,SoCon,266,204,-11.75,0,0,0,2,0,1,15,10,Mercer,SC,276,.1706,1,1
mercyhurst,Mercyhurst,NEC,Mercyhurst,NEC,329,214,-12.43,0,4,0,0,0,0,15,12,Mercyhurst,NEC,324,.0641,1,1
merrimack,Merrimack,MAAC,Merrimack,MAAC,230,172,-9.82,0,0,0,3,0,2,18,7,Merrimack,MAAC,239,.2700,1,1
miami-fl,Miami (FL),ACC,Miami (FL),ACC,57,62,-2.27,1,9,3,4,2,1,11,0,Miami FL,ACC,65,.8794,1,1
miami-oh,Miami (OH),MAC,Miami (OH),MAC,75,74,-3.04,0,0,1,2,3,1,21,3,Miami OH,MAC,72,.8427,1,1
michigan,Michigan,Big Ten,Michigan,Big Ten,6,6,10.13,9,6,4,0,4,0,8,0,Michigan,B10,6,.9953,1,1
michigan-state,Michigan St.,Big Ten,Michigan St.,Big Ten,17,16,5.52,5,7,5,0,1,1,11,0,Michigan St.,B10,22,.9823,1,1
middle-tennessee,Middle Tennessee,CUSA,Middle Tennessee,CUSA,163,205,-11.82,0,1,0,3,0,3,16,8,Middle Tennessee,CUSA,162,.5138,1,1
milwaukee,Milwaukee,Horizon,Milwaukee,Horizon,309,349,-22.26,0,0,0,0,0,3,6,21,Milwaukee,Horz,304,.0970,1,1
minnesota,Minnesota,Big Ten,Minnesota,Big Ten,9,18,5.10,5,7,2,1,6,0,9,0,Minnesota,B10,8,.9917,1,1
mississippi-state,Mississippi St.,SEC,Mississippi St.,SEC,43,53,-0.87,2,9,1,3,3,1,12,0,Mississippi St.,SEC,41,.9421,1,1
mississippi-valley-state,Mississippi Valley St.,SWAC,Mississippi Valley St.,SWAC,353,319,-19.87,0,3,0,1,0,1,8,18,Mississippi Valley St.,SWAC,356,.0151,1,1
missouri,Missouri,SEC,Missouri,SEC,83,75,-3.07,1,9,1,5,2,2,12,0,Missouri,SEC,75,.8357,1,1
missouri-state,Missouri St.,CUSA,Missouri St.,CUSA,120,168,-9.54,0,0,0,2,1,2,20,8,Missouri St.,CUSA,126,.6202,1,1
monmouth,Monmouth,CAA,Monmouth,CAA,202,165,-9.38,0,1,0,0,0,0,17,10,Monmouth,CAA,223,.3136,1,1
montana,Montana,Big Sky,Montana,Big Sky,269,290,-17.42,0,2,0,2,0,6,8,12,Montana,BSky,263,.2042,1,1
montana-state,Montana St.,Big Sky,Montana St.,Big Sky,69,76,-3.17,0,1,1,2,1,3,21,1,Montana St.,BSky,66,.8662,1,1
morehead-state,Morehead St.,OVC,Morehead St.,OVC,194,171,-9.76,0,3,0,0,2,2,15,9,Morehead St.,OVC,188,.4117,1,1
morgan-state,Morgan St.,MEAC,Morgan St.,MEAC,351,337,-21.12,0,3,0,2,0,0,4,20,Morgan St.,MEAC,347,.0316,1,1
mount-state-mary-s,Mount St. Mary's,MAAC,Mount St. Mary's,MAAC,281,215,-12.51,0,2,0,1,0,2,15,10,Mount St. Mary's,MAAC,299,.1072,1,1
murray-state,Murray St.,MVC,Murray St.,MVC,92,48,-0.03,0,2,1,0,2,1,25,0,Murray St.,MVC,103,.7345,1,1
n-dakota-state,N Dakota St,Summit League,N Dakota St,Summit League,47,49,-0.49,1,1,0,2,4,1,21,0,North Dakota St.,Sum,64,.8810,1,1
