team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Harvard,Ivy League,64,96,-4.82,0,3,2,3,2,3,14,2
Hawaii,Big West,119,141,-8.66,0,0,0,1,2,4,18,6
High Point,Big South,142,85,-4.02,0,0,0,1,2,0,23,4
Hofstra,CAA,269,295,-17.65,0,2,0,1,0,2,10,16
Holy Cross,Patriot,148,111,-6.11,0,1,0,2,2,1,20,5
Houston,Big 12,176,217,-12.58,0,6,0,8,0,6,7,3
Houston Christian,Southland,312,310,-18.40,0,1,0,2,0,2,6,16
Howard,MEAC,154,88,-4.25,0,2,1,1,1,1,24,3
Idaho,Big Sky,99,71,-2.94,0,0,0,2,2,0,25,3
Idaho St.,Big Sky,132,142,-8.66,0,0,0,2,2,1,16,8
Illinois,Big Ten,30,30,2.47,3,10,2,0,6,1,10,0
Illinois Chicago,MVC,203,264,-15.57,0,0,1,1,0,5,13,12
Illinois St.,MVC,158,167,-9.68,0,2,0,1,0,4,20,6
Incarnate Word,Southland,276,229,-13.70,0,2,0,1,0,3,11,11
Indiana,Big Ten,55,48,0.01,2,13,1,1,3,0,12,0
Indiana St.,MVC,296,315,-19.36,0,1,0,0,0,5,9,16
Iona,MAAC,273,182,-10.26,0,0,0,2,1,3,18,7
Iowa,Big Ten,10,5,11.00,10,6,6,0,3,0,7,0
Iowa St.,Big 12,33,40,0.89,2,3,6,5,1,1,13,0
IU Indy,Horizon,255,254,-15.03,0,0,0,0,0,4,12,13
Jackson St.,SWAC,315,265,-15.69,0,3,0,1,0,2,11,13
Jacksonville,ASUN,137,91,-4.45,0,2,1,1,1,1,20,4
Jacksonville St.,CUSA,221,235,-14.00,0,1,0,1,0,2,13,12
James Madison,Sun Belt,45,62,-2.29,0,2,1,2,6,3,19,1
Kansas,Big 12,50,57,-1.79,1,7,3,4,4,1,10,1
Kansas State,Big 12,54,74,-2.99,4,6,3,5,3,5,8,1
Kennesaw St.,CUSA,249,245,-14.54,0,1,0,2,0,2,10,12
Kent St.,MAC,164,198,-11.26,0,3,0,1,0,7,13,5
Kentucky,SEC,16,19,4.94,5,9,2,1,8,0,8,0
La Salle,Atlantic 10,165,147,-8.77,0,1,1,4,0,3,16,5
La. Tech,CUSA,78,70,-2.94,0,2,0,0,1,1,23,3
Lafayette,Patriot,282,285,-17.19,0,1,0,0,0,3,11,15
Lamar,Southland,179,136,-8.03,0,0,0,2,0,2,19,6
Le Moyne,NEC,352,306,-18.23,0,2,0,1,0,2,11,16
Lehigh,Patriot,191,191,-10.74,0,1,0,1,3,1,14,10
Liberty,CUSA,144,154,-9.24,0,2,1,1,1,3,14,7
Lindenwood,OVC,94,93,-4.54,0,2,0,0,4,3,19,3
Lipscomb,ASUN,260,302,-17.90,0,0,0,2,0,3,8,15
Little Rock,OVC,236,220,-12.81,0,1,0,1,0,6,13,8
LIU,NEC,274,157,-9.31,0,0,0,1,0,0,19,9
Long Beach St.,Big West,326,345,-21.87,0,1,0,2,0,4,4,18
Longwood,Big South,226,132,-7.81,0,2,0,0,0,2,18,6
Louisiana,Sun Belt,319,341,-21.57,0,2,0,1,0,3,4,19
Louisiana Monroe,Sun Belt,155,201,-11.54,0,2,0,4,1,3,15,7
Louisville,ACC,11,11,7.80,8,6,6,1,1,0,12,0
Loyola Chicago,Atlantic 10,198,218,-12.62,0,2,0,3,0,3,14,9
Loyola Marymount,WCC,111,115,-6.64,0,0,0,1,5,2,15,6
Loyola MD,Patriot,275,263,-15.48,0,2,0,0,0,2,12,14
LSU,SEC,5,9,8.81,8,5,4,0,3,0,12,0
Maine,America East,146,151,-9.03,0,1,1,2,2,4,16,6
Manhattan,MAAC,288,277,-16.58,0,1,0,3,0,5,11,11
Marist,MAAC,302,283,-17.15,0,1,0,2,0,3,11,14
Marquette,Big East,66,90,-4.37,0,5,1,2,3,3,13,2
Marshall,Sun Belt,102,97,-4.86,0,2,1,2,2,2,18,3
Maryland,Big Ten,14,17,5.42,6,8,2,0,3,0,12,0
Maryland Eastern Shore,MEAC,254,193,-10.87,0,2,0,1,0,1,17,10
Massachusetts,MAC,98,92,-4.49,0,0,0,3,3,1,20,3
McNeese St,Southland,89,59,-2.15,0,2,0,1,0,0,26,2
Memphis,American,216,294,-17.53,0,1,0,1,0,8,9,11
Mercer,SoCon,267,204,-11.75,0,0,0,2,0,1,15,10
Mercyhurst,NEC,329,213,-12.43,0,4,0,0,0,0,15,12
Merrimack,MAAC,230,172,-9.81,0,0,0,3,0,2,18,7
Miami (FL),ACC,57,61,-2.26,1,9,3,4,2,1,11,0
Miami (OH),MAC,75,72,-2.96,0,0,1,2,3,1,22,3
Michigan,Big Ten,6,6,10.12,9,6,4,0,4,0,8,0
Michigan St.,Big Ten,17,16,5.52,5,7,5,0,1,1,11,0
Middle Tennessee,CUSA,162,205,-11.85,0,1,0,3,0,3,16,8
Milwaukee,Horizon,309,349,-22.25,0,0,0,0,0,3,6,21
Minnesota,Big Ten,9,18,5.10,5,7,2,1,6,0,9,0
Mississippi St.,SEC,43,52,-0.88,2,9,1,3,3,1,12,0
Mississippi Valley St.,SWAC,353,319,-19.87,0,3,0,1,0,1,8,18
Missouri,SEC,83,75,-3.07,1,9,1,5,2,2,12,0
Missouri St.,CUSA,115,159,-9.34,0,0,0,2,2,2,20,8
Monmouth,CAA,202,161,-9.38,0,1,0,0,0,0,17,10
Montana,Big Sky,270,291,-17.42,0,2,0,2,0,6,8,12
Montana St.,Big Sky,69,76,-3.17,0,1,1,2,1,3,21,1
Morehead St.,OVC,194,171,-9.75,0,3,0,0,2,3,15,8
Morgan St.,MEAC,351,337,-21.15,0,3,0,2,0,0,4,20
Mount St. Mary's,MAAC,281,215,-12.51,0,2,0,1,0,2,15,10
Murray St.,MVC,88,47,0.05,0,2,1,0,2,1,26,0
N Dakota St,Summit League,47,49,-0.49,1,1,0,2,4,1,21,0
N.C. A&T,CAA,261,236,-14.00,0,4,0,0,0,2,8,12
N.C. Central,MEAC,317,275,-16.52,0,3,0,0,0,1,7,16
Navy,Patriot,129,110,-6.04,0,1,1,1,1,0,19,6
NC State,ACC,26,28,2.60,3,9,5,1,4,0,8,0
Nebraska,Big Ten,28,39,1.04,1,10,4,1,2,1,11,0
Nebraska Omaha,Summit League,355,342,-21.69,0,2,0,6,0,2,4,17
Nevada,Mountain West,241,307,-18.26,0,0,0,2,1,6,8,13
New Hampshire,America East,278,287,-17.33,0,1,0,0,0,4,8,15
New Haven,NEC,350,335,-21.09,0,0,0,1,0,0,5,21
New Mexico,Mountain West,113,116,-6.66,0,0,1,3,1,3,20,4
New Mexico St.,CUSA,301,312,-18.57,0,1,0,1,0,3,6,16
New Orleans,Southland,349,351,-22.82,0,2,0,1,0,3,3,20
Niagara,MAAC,360,357,-24.88,0,2,0,2,0,2,1,22
Nicholls St.,Southland,257,251,-14.92,0,0,0,0,0,3,14,13
NJIT,America East,178,173,-9.82,0,1,0,0,0,2,18,9
Norfolk St.,MEAC,206,168,-9.71,0,4,0,1,0,1,14,8
North Alabama,ASUN,233,203,-11.60,0,1,0,0,0,4,15,9
North Carolina,ACC,19,15,6.17,4,6,9,1,3,0,10,0
North Dakota,Summit League,331,318,-19.75,0,2,0,4,0,3,4,15
North Florida,ASUN,289,297,-17.77,0,2,0,2,0,1,7,16
North Texas,American,103,160,-9.37,0,2,0,4,0,4,17,4
Northeastern,CAA,307,334,-20.94,0,0,0,0,0,1,7,21
Northern Ariz.,Big Sky,252,314,-19.11,0,0,0,3,1,5,7,14
Northern Colo.,Big Sky,150,131,-7.77,0,0,0,2,0,3,19,5
Northern Illinois,MAC,313,326,-20.36,0,1,0,1,0,4,7,17
Northern Iowa,MVC,126,166,-9.62,0,2,0,2,2,4,16,6
Northern Kentucky,Horizon,187,227,-13.31,0,2,0,1,1,1,14,13
Northwestern,Big Ten,131,134,-7.86,0,12,0,4,1,3,7,2
Northwestern St.,Southland,224,181,-10.25,0,2,0,2,1,1,15,9
Notre Dame,ACC,21,22,4.31,6,7,4,3,3,0,9,0
Oakland,Horizon,262,282,-17.08,0,2,0,1,1,2,8,16
Ohio,MAC,160,184,-10.35,0,0,0,3,2,2,15,8
Ohio St.,Big Ten,15,8,9.37,9,7,4,0,1,0,12,0
Oklahoma,SEC,13,13,6.76,5,7,5,0,3,0,11,0
Oklahoma St,Big 12,29,37,1.25,1,3,6,5,5,1,10,0
Old Dominion,Sun Belt,153,145,-8.76,0,4,0,2,2,3,15,5
Ole Miss,SEC,20,24,3.94,5,8,3,2,4,1,11,0
Oral Roberts,Summit League,192,174,-9.85,0,3,0,4,3,1,9,7
Oregon,Big Ten,24,29,2.55,3,9,3,2,4,1,12,0
Oregon St.,WCC,82,98,-5.14,0,2,1,4,3,4,17,1
Pacific,WCC,205,250,-14.86,0,1,0,4,1,7,9,7
Penn,Ivy League,123,108,-5.98,0,2,0,3,1,2,14,3
Penn St.,Big Ten,93,84,-3.93,1,10,1,6,2,1,7,1
Pepperdine,WCC,127,146,-8.76,0,1,1,2,2,2,14,7
Pittsburgh,ACC,265,225,-12.99,0,8,0,5,0,2,8,7
Portland,WCC,130,158,-9.33,0,2,1,1,2,8,13,3
Portland St.,Big Sky,314,350,-22.58,0,0,0,2,0,3,5,20
Prairie View A&M,SWAC,358,361,-25.31,0,2,0,1,0,1,0,24
Presbyterian,Big South,363,362,-25.65,0,1,0,0,0,1,1,25
Princeton,Ivy League,38,27,2.90,1,1,5,1,6,1,14,0
Providence,Big East,147,177,-10.06,0,5,0,4,1,4,14,5
Purdue,Big Ten,71,81,-3.68,1,12,1,2,2,1,9,2
Purdue Fort Wayne,Horizon,138,176,-9.96,0,2,0,0,1,2,18,9
Queens,ASUN,324,290,-17.42,0,2,0,0,0,2,8,16
Quinnipiac,MAAC,84,89,-4.25,0,0,1,2,0,0,25,4
Radford,Big South,207,169,-9.71,0,2,0,1,0,1,20,8
Rhode Island,Atlantic 10,49,43,0.75,1,1,3,1,4,0,19,2
Rice,American,65,54,-1.40,0,2,1,0,5,0,22,3
Richmond,Atlantic 10,37,50,-0.66,0,2,3,4,5,0,18,1
Rider,MAAC,334,329,-20.70,0,0,0,2,0,2,7,18
Robert Morris,Horizon,214,192,-10.76,0,0,0,0,0,1,16,11
Rutgers,Big Ten,170,123,-7.36,0,13,1,2,2,2,6,3
Sacramento St.,Big Sky,204,262,-15.46,0,0,0,2,1,4,12,12
Sacred Heart,MAAC,300,255,-15.07,0,1,0,3,0,4,12,10
Saint Francis,NEC,356,360,-25.31,0,0,0,0,0,0,3,26
Saint Joseph's,Atlantic 10,87,112,-6.18,0,1,1,5,2,2,15,3
Saint Louis,Atlantic 10,225,293,-17.48,0,0,0,4,0,5,11,12
Saint Mary's,WCC,182,223,-12.91,0,2,0,3,0,5,13,7
Saint Peter's,MAAC,347,339,-21.20,0,0,0,3,0,1,6,19
Sam Houston St.,CUSA,181,143,-8.68,0,2,1,1,0,2,14,7
Samford,SoCon,279,232,-13.77,0,4,0,1,0,1,13,12
San Diego,WCC,268,311,-18.48,0,0,0,5,0,7,10,10
San Diego St.,Mountain West,72,55,-1.57,0,1,2,0,3,2,19,2
San Francisco,WCC,169,185,-10.43,0,0,0,3,1,8,16,3
San Jose St.,Mountain West,320,356,-23.80,0,1,0,4,0,6,3,17
Santa Clara,WCC,80,99,-5.17,0,1,1,2,6,3,15,3
Seattle,WCC,342,347,-22.06,0,1,0,1,0,7,3,16
Seton Hall,Big East,63,83,-3.92,0,6,1,1,5,2,13,3
Siena,MAAC,283,259,-15.32,0,0,0,2,0,3,13,12
SIU Edwardsville,OVC,246,239,-14.13,0,0,0,0,1,5,12,11
SMU,ACC,223,199,-11.39,0,9,0,4,0,2,9,6
South Alabama,Sun Belt,180,240,-14.15,0,1,0,4,2,2,14,11
South Carolina,SEC,3,3,14.48,12,3,7,0,3,0,9,0
South Carolina State,MEAC,359,353,-22.90,0,1,0,1,0,1,3,22
South Dakota,Summit League,117,101,-5.41,0,1,2,3,0,1,18,4
South Dakota St,Summit League,42,44,0.61,0,3,4,2,5,1,18,0
South Fla.,American,67,82,-3.78,1,5,1,2,2,2,16,3
Southeast Missouri St.,OVC,231,257,-15.16,0,1,0,1,0,5,12,11
Southeastern Louisiana,Southland,336,323,-20.22,0,3,0,0,0,3,4,18
Southern,SWAC,215,126,-7.55,0,6,0,0,1,0,16,7
Southern Illinois,MVC,284,304,-18.16,0,0,0,0,0,6,8,14
Southern Indiana,OVC,124,129,-7.65,0,1,0,0,0,5,18,4
Southern Miss.,Sun Belt,190,211,-12.26,0,2,0,3,1,1,12,10
Southern Utah,WAC,183,179,-10.11,0,0,0,1,1,5,15,6
St. Bonaventure,Atlantic 10,211,208,-12.02,0,1,0,2,2,1,13,11
St. John's,Big East,100,80,-3.53,0,3,4,2,3,3,15,3
St. Thomas,Summit League,228,207,-12.00,0,2,0,4,0,2,13,8
Stanford,ACC,44,56,-1.69,3,6,3,6,3,0,10,1
Stephen F. Austin,Southland,161,124,-7.45,0,0,0,1,1,3,22,5
Stetson,ASUN,175,139,-8.51,0,1,0,1,1,0,17,9
Stonehill,NEC,337,272,-16.26,0,1,0,0,0,1,11,16
Stony Brook,CAA,245,221,-12.87,0,1,0,1,0,3,15,10
Syracuse,ACC,39,32,2.24,1,7,6,1,3,0,13,0
Tarleton St.,WAC,219,241,-14.19,0,1,0,1,0,4,12,11
TCU,Big 12,12,12,6.91,4,3,10,2,1,0,14,0
Temple,American,140,189,-10.70,0,5,0,2,2,3,13,7
Tennessee,SEC,23,33,2.22,5,11,1,1,2,1,8,0
Tennessee Martin,OVC,256,247,-14.64,0,1,0,0,1,5,9,11
Tennessee St.,OVC,325,330,-20.73,0,2,0,0,1,3,4,19
Tennessee Tech,OVC,222,206,-11.89,0,1,0,0,0,4,13,9
Texas,SEC,4,2,14.75,14,3,5,0,4,0,8,0
Texas A&M,SEC,62,38,1.13,2,9,5,0,2,2,5,1
Texas A&M Corpus Chris,Southland,340,332,-20.80,0,1,0,1,0,3,5,18
Texas Southern,SWAC,335,289,-17.35,0,3,0,0,0,3,6,15
Texas St.,Sun Belt,251,267,-15.78,0,2,0,1,0,4,9,12
Texas Tech,Big 12,31,31,2.37,3,1,5,6,3,0,14,0
Toledo,MAC,149,197,-11.18,0,1,0,3,3,3,13,8
Towson,CAA,229,200,-11.53,0,2,0,0,0,1,16,11
Troy,Sun Belt,77,67,-2.81,0,1,0,3,5,1,19,2
Tulane,American,185,261,-15.40,0,2,0,3,0,4,11,11
Tulsa,American,151,137,-8.23,0,1,1,2,2,4,16,5
UAB,American,197,256,-15.11,0,1,0,1,0,4,11,12
UC Davis,Big West,167,122,-7.32,0,1,0,2,1,3,20,4
UC Irvine,Big West,79,95,-4.62,0,0,0,0,1,2,25,4
UC Riverside,Big West,243,308,-18.28,0,0,0,2,1,7,8,12
UC San Diego,Big West,112,102,-5.67,0,1,1,0,2,1,20,6
UC Santa Barbara,Big West,141,127,-7.58,0,1,0,1,2,2,17,6
UCF,Big 12,145,156,-9.27,0,7,2,5,1,3,8,4
UCLA,Big Ten,2,1,17.04,19,1,1,0,5,0,6,0
UConn,Big East,1,4,11.43,9,0,5,0,7,0,13,0
UMass Lowell,America East,348,316,-19.52,0,0,0,0,0,3,5,18
UMBC,America East,186,195,-10.98,1,1,0,0,1,2,12,11
UMKC,Summit League,286,298,-17.84,0,2,0,5,0,4,4,12
UNC Asheville,Big South,333,292,-17.44,0,0,0,0,0,1,9,17
UNC Greensboro,SoCon,280,233,-13.82,0,2,0,0,0,1,10,13
UNC Wilmington,CAA,327,348,-22.15,0,1,0,0,0,2,6,21
UNLV,Mountain West,96,117,-6.67,0,0,0,6,2,4,19,1
USC,Big Ten,22,26,3.07,5,12,2,0,2,1,8,0
USC Upstate,Big South,343,284,-17.16,0,3,0,0,0,1,9,16
UT Arlington,WAC,237,288,-17.35,0,1,1,2,0,3,11,15
UT Rio Grande Valley,Southland,200,163,-9.39,0,2,0,1,0,4,18,6
Utah,Big 12,58,53,-1.10,2,3,4,8,1,1,11,0
Utah St.,Mountain West,291,327,-20.60,0,1,0,1,0,7,5,15
Utah Tech,WAC,258,305,-18.21,0,0,0,1,0,3,8,16
Utah Valley,WAC,184,209,-12.14,0,0,0,1,2,3,12,10
UTEP,CUSA,271,243,-14.36,0,1,0,2,0,2,11,12
UTSA,American,114,175,-9.88,0,2,2,2,1,4,14,7
Valparaiso,MVC,357,363,-29.52,0,1,0,0,0,5,0,26
Vanderbilt,SEC,7,7,9.80,8,4,6,0,5,0,8,0
VCU,Atlantic 10,240,274,-16.50,0,4,0,6,0,4,8,9
Vermont,America East,81,94,-4.60,0,1,0,0,2,1,23,5
Villanova,Big East,35,35,1.51,2,3,2,3,5,1,16,0
Virginia,ACC,36,51,-0.73,3,5,2,5,3,0,11,1
Virginia Tech,ACC,40,34,1.82,3,6,4,2,5,1,11,0
Wagner,NEC,330,253,-15.03,0,1,0,2,0,0,11,14
Wake Forest,ACC,128,133,-7.83,0,7,0,6,1,1,13,3
Washington,Big Ten,25,23,4.29,6,7,2,3,2,0,11,0
Washington St.,WCC,227,309,-18.37,0,2,0,6,1,9,8,8
Weber St.,Big Sky,253,303,-18.03,0,1,0,5,1,3,7,13
West Georgia,ASUN,235,183,-10.32,0,1,0,2,0,2,16,8
West Virginia,Big 12,18,14,6.66,3,3,10,3,3,0,11,0
Western Carolina,SoCon,354,354,-23.63,0,1,0,2,0,1,0,22
Western Illinois,OVC,90,68,-2.92,0,1,0,0,3,0,20,4
Western Kentucky,CUSA,295,299,-17.86,0,2,0,2,0,1,7,16
Western Michigan,MAC,266,258,-15.19,0,2,0,1,0,4,9,12
Wichita St.,American,263,320,-19.92,0,1,0,3,1,1,6,18
William & Mary,CAA,218,210,-12.15,0,0,0,2,1,2,15,10
Winthrop,Big South,305,230,-13.74,0,3,0,1,0,0,12,13
Wisconsin,Big Ten,85,69,-2.92,2,12,1,3,0,1,10,1
Wofford,SoCon,234,196,-11.08,0,1,0,1,0,2,13,9
Wright St.,Horizon,293,317,-19.68,0,1,0,0,0,1,8,20
Wyoming,Mountain West,250,268,-15.89,0,1,0,4,1,4,8,11
Xavier,Big East,199,219,-12.68,0,3,0,3,2,5,9,8
Yale,Ivy League,272,273,-16.34,0,1,0,3,0,6,7,10
Youngstown St.,Horizon,135,118,-6.69,0,1,0,0,1,2,21,6
